;symbol;baseMean;FoldChange;log2FoldChange;lfcSE;stat;pvalue;padj;description;;;
ENSRNOG00000005577;Desi1;4216.173156;0.664970142;-0.588638531;0.1733142;-3.396366425;0.000682869;0.641247924;desumoylating isopeptidase 1;;;
ENSRNOG00000001130;Nos1;1752.396154;1.953747573;0.966244081;0.291967198;3.309426844;0.000934872;0.796932314;nitric oxide synthase 1;;;
ENSRNOG00000015105;Bspry;431.1288896;0.358075577;-1.481663974;0.44917044;-3.298667593;0.000971449;0.796932314;B-box and SPRY domain containing;;;
ENSRNOG00000007955;Timp4;240.8751357;0.273534183;-1.870206962;0.567627792;-3.294776947;0.000984998;0.796932314;TIMP metallopeptidase inhibitor 4;;;
ENSRNOG00000005195;Cst3;35977.19003;0.614810514;-0.701786259;0.213607784;-3.285396465;0.00101839;0.796932314;cystatin C;;;
ENSRNOG00000021808;Tecr;10903.91312;0.693171911;-0.5287149;0.162512133;-3.253387236;0.00114038;0.856698894;trans-2;3-enoyl-CoA reductase;;
ENSRNOG00000017545;Mrs2;2036.96754;1.479226039;0.564842526;0.177932116;3.17448328;0.001501035;0.924256347;magnesium transporter MRS2;;;
ENSRNOG00000069640;NA;1792.125582;1.644978514;0.71806874;0.226575032;3.169231546;0.001528426;0.924256347;NA;;;
ENSRNOG00000024603;Rps15;5406.41629;0.68551811;-0.544733315;0.172214719;-3.163105448;0.001560958;0.924256347;ribosomal protein S15;;;
ENSRNOG00000001494;Napa;5975.244943;0.691977983;-0.531201959;0.168002484;-3.16186967;0.001567597;0.924256347;NSF attachment protein alpha;;;
ENSRNOG00000061230;L1cam;10805.13295;1.405003746;0.490573977;0.155542809;3.153948293;0.001610776;0.924256347;L1 cell adhesion molecule;;;
ENSRNOG00000004100;Trib1;631.3184999;0.408691298;-1.290916568;0.410327856;-3.146061249;0.001654853;0.924256347;tribbles pseudokinase 1;;;
ENSRNOG00000063021;Spmip1;3030.677806;0.635229286;-0.654650669;0.208425154;-3.140938884;0.001684072;0.924256347;sperm microtubule inner protein 1;;;
ENSRNOG00000003109;Btbd17;244.6418587;0.335606936;-1.575155561;0.503352647;-3.129328054;0.001752066;0.924256347;BTB domain containing 17;;;
ENSRNOG00000020393;Rhog;767.7872525;0.392652868;-1.348673661;0.431018233;-3.129040854;0.001753779;0.924256347;ras homolog family member G;;;
ENSRNOG00000060775;Lmo7;5217.866231;1.546691153;0.629185145;0.201230751;3.126684869;0.001767893;0.924256347;LIM domain 7;;;
ENSRNOG00000012206;Dennd5a;21831.77484;0.737843179;-0.438613876;0.140804742;-3.115050467;0.001839134;0.924256347;DENN domain containing 5A;;;
ENSRNOG00000008517;Cdc42ep1;507.5190411;0.325948609;-1.617283578;0.520033943;-3.109957724;0.001871141;0.924256347;CDC42 effector protein 1;;;
ENSRNOG00000001960;Sult1d1;517.367611;0.489346597;-1.031071428;0.332757654;-3.098565627;0.001944599;0.924256347;sulfotransferase family 1D; member 1;;
ENSRNOG00000017601;Srd5a1;711.8406185;0.5428014;-0.881503652;0.284839856;-3.094734231;0.001969893;0.924256347;steroid 5 alpha-reductase 1;;;
ENSRNOG00000070474;Tma7b;2005.786262;0.654250974;-0.612083927;0.197826817;-3.094039207;0.001974514;0.924256347;translation machinery associated 7B;;;
ENSRNOG00000024693;Zfp831;1596.154581;1.557456275;0.639191661;0.207018005;3.087613859;0.002017705;0.924256347;zinc finger protein 831;;;
ENSRNOG00000009533;Erich3;2440.205167;1.49109866;0.576375718;0.189474736;3.041966066;0.002350384;0.966828059;glutamate-rich 3;;;
ENSRNOG00000027017;Rnasel;454.629781;1.919199716;0.940504849;0.31005717;3.033327207;0.002418732;0.966828059;ribonuclease L;;;
ENSRNOG00000060340;Psme4;5375.042259;1.395487064;0.480768751;0.159050094;3.022750491;0.002504887;0.966828059;proteasome activator subunit 4;;;
ENSRNOG00000011623;Rab3c;2950.950389;1.471903389;0.55768298;0.185874567;3.00031892;0.002696971;0.966828059;RAB3C; member RAS oncogene family;;
ENSRNOG00000036964;Ralgapa2;2797.621907;1.492343264;0.577579418;0.192929123;2.993738887;0.002755817;0.966828059;Ral GTPase activating protein catalytic subunit alpha 2;;;
ENSRNOG00000010308;Nr2f2;441.8374627;1.894115354;0.921524195;0.308484238;2.987265089;0.002814855;0.966828059;nuclear receptor subfamily 2; group F; member 2;
ENSRNOG00000052022;Pnma3;1973.486089;1.553998275;0.635984902;0.21298907;2.985997843;0.002826546;0.966828059;PNMA family member 3;;;
ENSRNOG00000018841;Sox8;1446.107068;0.496671779;-1.009635321;0.338205529;-2.985271485;0.002833267;0.966828059;SRY-box transcription factor 8;;;
ENSRNOG00000014761;Rasd2;3555.88034;0.606768702;-0.720781424;0.241718957;-2.981898616;0.002864668;0.966828059;RASD family; member 2;;
ENSRNOG00000023896;Dusp6;1106.767867;0.528459096;-0.920136286;0.308714932;-2.980537028;0.002877434;0.966828059;dual specificity phosphatase 6;;;
ENSRNOG00000002511;Flt4;133.7336585;2.825358725;1.498434053;0.502982358;2.97909863;0.002890977;0.966828059;Fms related receptor tyrosine kinase 4;;;
ENSRNOG00000048297;Qki;22830.16363;0.651731846;-0.617649603;0.207564614;-2.975697977;0.002923226;0.966828059;QKI; KH domain containing RNA binding;;
ENSRNOG00000026044;Prrg1;789.2271834;0.445873705;-1.165292976;0.392489544;-2.968978395;0.002987916;0.966828059;proline rich and Gla domain 1;;;
ENSRNOG00000050805;Tsc22d4;2309.750748;0.574481472;-0.799667732;0.269577992;-2.966368747;0.00301339;0.966828059;TSC22 domain family; member 4;;
ENSRNOG00000011321;Rftn1;274.2688071;2.223254073;1.152672829;0.388626589;2.966016383;0.003016844;0.966828059;raftlin lipid raft linker 1;;;
ENSRNOG00000027233;Trpc5;4431.948709;1.37813352;0.46271567;0.156122786;2.96379331;0.003038723;0.966828059;transient receptor potential cation channel; subfamily C; member 5;
ENSRNOG00000048431;Nynrin;749.9099457;1.666671653;0.736969911;0.248856101;2.961429951;0.003062141;0.966828059;NYN domain and retroviral integrase containing;;;
ENSRNOG00000060098;Ptms;13104.79357;0.737765771;-0.438765238;0.148161026;-2.96140794;0.00306236;0.966828059;parathymosin;;;
ENSRNOG00000054890;Flna;2072.938894;1.532566051;0.615949253;0.208856852;2.94914554;0.003186539;0.966828059;filamin A;;;
ENSRNOG00000022099;Trim72;18.3686179;0.00874614;-6.837137907;2.322542894;-2.943815559;0.003241931;0.966828059;tripartite motif containing 72;;;
ENSRNOG00000038068;Pcdh9;21407.49896;0.675243802;-0.566519603;0.192485452;-2.943181409;0.00324858;0.966828059;protocadherin 9;;;
ENSRNOG00000001911;Map6d1;551.4234973;0.445503652;-1.166490837;0.396412313;-2.942620091;0.003254475;0.966828059;MAP6 domain containing 1;;;
ENSRNOG00000028648;Olig1;2081.193631;0.410437404;-1.284765882;0.437170881;-2.93881852;0.003294659;0.966828059;oligodendrocyte transcription factor 1;;;
ENSRNOG00000002935;Ankrd40;6784.566235;0.659618771;-0.60029564;0.204771399;-2.931540455;0.003372854;0.974547341;ankyrin repeat domain 40;;;
ENSRNOG00000010983;Otog;122.7931855;9.202063754;3.201957452;1.100382019;2.909859846;0.003615909;0.999244754;otogelin;;;
ENSRNOG00000011659;Alpk3;316.7164545;1.949988804;0.963465841;0.331573648;2.905737072;0.003663892;0.999244754;alpha-kinase 3;;;
ENSRNOG00000010389;Ndrg2;38279.30773;0.651249364;-0.618718037;0.213038792;-2.904250593;0.003681334;0.999244754;NDRG family member 2;;;
ENSRNOG00000031065;RT1-M1-2;87.60724083;0.056655667;-4.141635917;1.429318921;-2.897628972;0.003759951;0.999244754;RT1 class I; locus M1; gene 2;
ENSRNOG00000009057;NA;11628.59076;0.739726268;-0.434936588;0.150594428;-2.888132006;0.003875372;0.999244754;NA;;;
ENSRNOG00000020060;Atf5;1383.269176;0.625376029;-0.677204173;0.235154475;-2.879826853;0.003978936;0.999244754;activating transcription factor 5;;;
ENSRNOG00000066585;Prdx6;6561.054444;0.730941362;-0.45217242;0.157947728;-2.862797882;0.004199183;0.999244754;peroxiredoxin 6;;;
ENSRNOG00000069969;Rpl21;66.10844848;0.268717355;-1.895838597;0.663021912;-2.859390561;0.004244558;0.999244754;ribosomal protein L21;;;
ENSRNOG00000015746;Kcng4;236.2785877;0.365284357;-1.452908124;0.509770053;-2.850124513;0.004370212;0.999244754;potassium voltage-gated channel modifier subfamily G member 4;;;
ENSRNOG00000007367;Septin4;5367.293239;0.468864061;-1.092758397;0.385907774;-2.831656863;0.004630751;0.999244754;septin 4;;;
ENSRNOG00000019885;Magi3;4738.957586;1.462829693;0.548761816;0.194029325;2.828241637;0.004680446;0.999244754;membrane associated guanylate kinase; WW and PDZ domain containing 3;;
ENSRNOG00000000168;Gatm;6183.631527;0.659290046;-0.601014794;0.212855855;-2.82357652;0.004749109;0.999244754;glycine amidinotransferase;;;
ENSRNOG00000001795;Itgb5;1306.175148;0.664290328;-0.590114185;0.208999404;-2.823520898;0.004749933;0.999244754;integrin subunit beta 5;;;
ENSRNOG00000053691;Lama5;364.7422298;2.110101383;1.077312317;0.381872178;2.821133295;0.004785431;0.999244754;laminin subunit alpha 5;;;
ENSRNOG00000013920;Arhgap26;5299.4428;1.385413611;0.470316752;0.166820557;2.819297343;0.004812891;0.999244754;Rho GTPase activating protein 26;;;
ENSRNOG00000006779;Crot;1534.754799;0.671261788;-0.575052577;0.20424875;-2.815452119;0.004870865;0.999244754;carnitine O-octanoyltransferase;;;
ENSRNOG00000043304;Apcdd1;991.6218984;1.981675902;0.986721033;0.351015515;2.811046777;0.004938061;0.999244754;APC down-regulated 1;;;
ENSRNOG00000013042;Htr1b;1164.316452;1.777153796;0.829568539;0.295555927;2.806807314;0.005003516;0.999244754;5-hydroxytryptamine receptor 1B;;;
ENSRNOG00000014504;Il1r1;222.7931502;2.548089389;1.349415889;0.481636485;2.801731036;0.005082923;0.999244754;interleukin 1 receptor type 1;;;
ENSRNOG00000017459;C1ql3;21036.65734;1.544023103;0.626694339;0.224710046;2.788902196;0.005288703;0.999244754;complement C1q like 3;;;
ENSRNOG00000019677;Arid3b;423.8198395;0.535902137;-0.899958525;0.323139864;-2.785043341;0.005352057;0.999244754;AT-rich interaction domain 3B;;;
ENSRNOG00000029670;RGD1564606;1148.38108;0.639216285;-0.645623931;0.232079773;-2.781905223;0.005404082;0.999244754;similar to 60S ribosomal protein L23a;;;
ENSRNOG00000022619;Fth1;26929.63887;0.572571193;-0.804473006;0.289210871;-2.781613999;0.005408933;0.999244754;ferritin heavy chain 1;;;
ENSRNOG00000001235;Gna12;7481.78205;0.561903463;-0.831605803;0.299325622;-2.778264684;0.005465008;0.999244754;G protein subunit alpha 12;;;
ENSRNOG00000004208;Crim1;5177.66596;1.456548959;0.542554195;0.195865154;2.77003941;0.005604951;0.999244754;cysteine rich transmembrane BMP regulator 1;;;
ENSRNOG00000009318;Ttll5;3205.292478;0.661865207;-0.595390661;0.215234135;-2.766246448;0.005670566;0.999244754;tubulin tyrosine ligase like 5;;;
ENSRNOG00000050231;Gng12;2913.056015;0.635604688;-0.653798329;0.23647753;-2.764737639;0.005696859;0.999244754;G protein subunit gamma 12;;;
ENSRNOG00000005492;Hpcal1;1608.910793;1.735000763;0.794936297;0.288812563;2.752429775;0.005915483;0.999244754;hippocalcin-like 1;;;
ENSRNOG00000019442;Josd2;543.9686307;0.498357954;-1.00474574;0.365074105;-2.752169291;0.005920191;0.999244754;Josephin domain containing 2;;;
ENSRNOG00000015596;Efhd1;1357.977656;0.624474871;-0.679284576;0.247251037;-2.747347738;0.00600794;0.999244754;EF-hand domain family; member D1;;
ENSRNOG00000014686;Kcnd3;6303.797793;1.353203255;0.436378552;0.159072184;2.74327379;0.006082994;0.999244754;potassium voltage-gated channel subfamily D member 3;;;
ENSRNOG00000006060;Matn2;1654.264193;1.615351129;0.691847798;0.252217738;2.743057661;0.006087;0.999244754;matrilin 2;;;
ENSRNOG00000020942;Plekha4;64.22165671;0.268069957;-1.89931855;0.695296548;-2.731666876;0.006301482;0.999244754;pleckstrin homology domain containing A4;;;
ENSRNOG00000019659;Aspa;699.0484036;0.413635476;-1.273568169;0.46790042;-2.721878662;0.006491197;0.999244754;aspartoacylase;;;
ENSRNOG00000015614;Ppp1r16b;9325.823578;0.586398551;-0.770046557;0.2832156;-2.718941182;0.006549125;0.999244754;protein phosphatase 1; regulatory subunit 16B;;
ENSRNOG00000069366;NA;701.7652807;1.631087525;0.7058342;0.259642464;2.718485214;0.006558159;0.999244754;NA;;;
ENSRNOG00000028097;Slc7a14;2522.744334;1.426783155;0.512766088;0.188866467;2.714966267;0.006628252;0.999244754;solute carrier family 7; member 14;;
ENSRNOG00000009227;Aplnr;108.3927971;3.197721659;1.677044367;0.618687601;2.710648094;0.006715185;0.999244754;apelin receptor;;;
ENSRNOG00000032579;Zswim2;49.85795674;4.944371153;2.305787044;0.853671028;2.7010253;0.006912608;0.999244754;zinc finger; SWIM-type containing 2;;
ENSRNOG00000030442;NA;1528.722178;0.668685017;-0.580601304;0.215061548;-2.699698335;0.006940237;0.999244754;NA;;;
ENSRNOG00000052405;Cdh4;3257.16731;1.538906195;0.621905294;0.230945638;2.692864432;0.007084107;0.999244754;cadherin 4;;;
ENSRNOG00000011625;Tnks;4762.185939;1.348409725;0.431258938;0.160376972;2.6890328;0.007165938;0.999244754;tankyrase;;;
ENSRNOG00000018681;Nes;533.2540242;2.151564221;1.105385903;0.411369157;2.687089891;0.007207755;0.999244754;nestin;;;
ENSRNOG00000020460;Banf1;1180.17029;0.639928901;-0.644016472;0.23978556;-2.685801734;0.007235601;0.999244754;BAF nuclear assembly factor 1;;;
ENSRNOG00000023708;Tmem176a;926.0992918;0.655667658;-0.608963362;0.227261113;-2.679575725;0.007371553;0.999244754;transmembrane protein 176A;;;
ENSRNOG00000018366;Cracdl;13157.16786;1.44983556;0.535889279;0.200031646;2.679022496;0.007383743;0.999244754;CRACD like;;;
ENSRNOG00000018584;Ptma;11829.64635;0.673695295;-0.569831871;0.213170158;-2.673131533;0.007514678;0.999244754;prothymosin alpha;;;
ENSRNOG00000014840;Gna14;472.6794502;0.530609336;-0.914278034;0.342073578;-2.672752571;0.007523172;0.999244754;G protein subunit alpha 14;;;
ENSRNOG00000026319;Akap9;8844.888527;1.381244642;0.465968869;0.174464105;2.670858104;0.007565762;0.999244754;A-kinase anchoring protein 9;;;
ENSRNOG00000020698;Rnd2;2579.950475;0.717359122;-0.479232558;0.179502809;-2.669777482;0.007590153;0.999244754;Rho family GTPase 2;;;
ENSRNOG00000042519;Peak1;2811.720165;1.410719449;0.496431107;0.186421493;2.662949952;0.007745893;0.999244754;pseudopodium-enriched atypical kinase 1;;;
ENSRNOG00000023895;Ube2u;60.96895118;4.213957588;2.075175794;0.779629727;2.66174534;0.007773667;0.999244754;ubiquitin conjugating enzyme E2 U;;;
ENSRNOG00000020325;Calhm2;449.3035558;0.570808289;-0.808921811;0.304540674;-2.656202866;0.007902606;0.999244754;calcium homeostasis modulator family member 2;;;
ENSRNOG00000021569;Tiam1;4230.018129;1.374339438;0.458738369;0.172730074;2.655810639;0.007911803;0.999244754;TIAM Rac1 associated GEF 1;;;
ENSRNOG00000029986;Insr;1718.267583;1.4494453;0.535500889;0.202159306;2.648905461;0.008075292;0.999244754;insulin receptor;;;
ENSRNOG00000018225;Tp53inp2;5045.519243;0.665321266;-0.587876947;0.222259789;-2.644999124;0.008169113;0.999244754;tumor protein p53 inducible nuclear protein 2;;;
ENSRNOG00000016628;Scgn;145.8676253;2.371966145;1.246083418;0.471531625;2.642629575;0.008226498;0.999244754;secretagogin; EF-hand calcium binding protein;;
ENSRNOG00000006729;Slc24a4;1544.986844;1.72098376;0.783233483;0.29675237;2.639350393;0.008306508;0.999244754;solute carrier family 24 member 4;;;
ENSRNOG00000051624;Hspe1;1754.039416;0.707293031;-0.499620049;0.191176897;-2.613391352;0.008964858;0.999244754;heat shock protein family E (Hsp10) member 1;;;
ENSRNOG00000017071;Babam1;2292.010111;0.709366998;-0.495395882;0.189680857;-2.611733677;0.00900844;0.999244754;BRISC and BRCA1 A complex member 1;;;
ENSRNOG00000054371;Prkcg;12685.5019;1.32598763;0.407067316;0.156540282;2.600399782;0.009311521;0.999244754;protein kinase C; gamma;;
ENSRNOG00000013072;Plxna4;10503.39296;1.38790723;0.472911139;0.18226393;2.594650186;0.009468724;0.999244754;plexin A4;;;
ENSRNOG00000070875;Nat8f4;1248.761623;0.688439979;-0.538597216;0.207999747;-2.589412844;0.009613976;0.999244754;N-acetyltransferase 8 (GCN5-related) family member 4;;;
ENSRNOG00000054989;Grhl1;623.7450608;1.692912609;0.7595075;0.294190087;2.581689643;0.009831796;0.999244754;grainyhead-like transcription factor 1;;;
ENSRNOG00000052061;Ppef2;61.06636313;3.767143347;1.913470931;0.742405929;2.57739177;0.009954905;0.999244754;protein phosphatase with EF-hand domain 2;;;
ENSRNOG00000061527;Gck;38.74575185;6.489489814;2.698105062;1.046856689;2.577339468;0.009956412;0.999244754;glucokinase;;;
ENSRNOG00000021215;Rbm8a;1667.34834;0.695866638;-0.523117254;0.202990436;-2.577053693;0.009964647;0.999244754;RNA binding motif protein 8A;;;
ENSRNOG00000018770;Pmaip1;686.8680935;2.082000818;1.057970636;0.41057737;2.576787501;0.009972324;0.999244754;phorbol-12-myristate-13-acetate-induced protein 1;;;
ENSRNOG00000011381;Acsbg1;7580.816299;0.725671615;-0.462611255;0.17961885;-2.575516187;0.010009059;0.999244754;acyl-CoA synthetase bubblegum family member 1;;;
ENSRNOG00000011308;Uhrf2;4853.878805;1.331612276;0.413174076;0.160567511;2.573210942;0.010075978;0.999244754;ubiquitin like with PHD and ring finger domains 2;;;
ENSRNOG00000003223;Degs1;2447.713979;0.649254056;-0.623144974;0.242197215;-2.572882493;0.010085544;0.999244754;delta(4)-desaturase; sphingolipid 1;;
ENSRNOG00000065676;NA;490.8780387;0.451218306;-1.148102497;0.446414714;-2.571829428;0.010116272;0.999244754;NA;;;
ENSRNOG00000014288;Fn1;1969.106983;2.423537642;1.27711449;0.497033726;2.569472499;0.010185348;0.999244754;fibronectin 1;;;
ENSRNOG00000005184;Nop10;1563.95938;0.695681367;-0.523501414;0.203781694;-2.568932488;0.010201233;0.999244754;NOP10 ribonucleoprotein;;;
ENSRNOG00000027309;Cntnap3;1513.400384;1.467306642;0.553170402;0.215521139;2.566664249;0.010268198;0.999244754;contactin associated protein family member 3;;;
ENSRNOG00000027542;LOC100302465;541.8408398;0.369674223;-1.435673646;0.560009189;-2.563660872;0.010357469;0.999244754;hypothetical LOC100302465;;;
ENSRNOG00000003269;NA;893.1453127;0.668066125;-0.581937187;0.227151126;-2.561894353;0.010410298;0.999244754;NA;;;
ENSRNOG00000067131;NA;63.16092867;5.003230768;2.322859996;0.906946492;2.561187475;0.010431505;0.999244754;NA;;;
ENSRNOG00000012383;Ndufc2;2336.995996;0.665814189;-0.58680848;0.229396957;-2.558048227;0.010526149;0.999244754;NADH:ubiquinone oxidoreductase subunit C2;;;
ENSRNOG00000020640;Zbtb7b;318.3192079;0.544210073;-0.877764435;0.343229191;-2.557371164;0.010546662;0.999244754;zinc finger and BTB domain containing 7B;;;
ENSRNOG00000005519;Grm3;9866.105955;0.702585409;-0.50925448;0.199199721;-2.556501979;0.010573047;0.999244754;glutamate metabotropic receptor 3;;;
ENSRNOG00000004198;Stxbp6;7570.908546;1.405013232;0.490583717;0.192102266;2.553763304;0.010656567;0.999244754;syntaxin binding protein 6;;;
ENSRNOG00000011908;Asxl2;1276.949112;1.45443949;0.540463277;0.211688713;2.553103892;0.010676764;0.999244754;ASXL transcriptional regulator 2;;;
ENSRNOG00000005957;Slc4a7;1861.618567;1.455477904;0.541492938;0.212203878;2.551757979;0.010718094;0.999244754;solute carrier family 4 member 7;;;
ENSRNOG00000014061;Dusp5;142.5549583;0.323740198;-1.627091583;0.639094069;-2.545934415;0.010898566;0.999244754;dual specificity phosphatase 5;;;
ENSRNOG00000021719;Slfn5;717.7337215;2.816951257;1.4941346;0.587459814;2.543381803;0.010978519;0.999244754;schlafen family member 5;;;
ENSRNOG00000020533;Htra1;4406.602754;0.607996151;-0.717865904;0.282483825;-2.541263746;0.011045256;0.999244754;HtrA serine peptidase 1;;;
ENSRNOG00000020835;Hipk4;9.881698619;80.63512712;6.333336553;2.499098557;2.534248413;0.011268881;0.999244754;homeodomain interacting protein kinase 4;;;
ENSRNOG00000021316;Tmem98;281.3886406;0.306893502;-1.704189996;0.673235927;-2.531341433;0.011362718;0.999244754;transmembrane protein 98;;;
ENSRNOG00000032300;Rpl39l1;17.83100041;0.008422689;-6.891503457;2.729661795;-2.524673009;0.011580599;0.999244754;ribosomal protein L39 like 1;;;
ENSRNOG00000053753;Thsd4;851.9382479;2.046144673;1.032908155;0.409678017;2.521268195;0.011693269;0.999244754;thrombospondin type 1 domain containing 4;;;
ENSRNOG00000019057;Prkcq;635.362753;0.563248829;-0.828155685;0.328517718;-2.520885903;0.01170598;0.999244754;protein kinase C; theta;;
ENSRNOG00000014171;Tnfsf13;621.3871425;0.521279105;-0.939872063;0.372930645;-2.520232851;0.011727722;0.999244754;TNF superfamily member 13;;;
ENSRNOG00000010872;Ckb;20622.51512;0.722117028;-0.469695433;0.186480875;-2.518732456;0.011777811;0.999244754;creatine kinase B;;;
ENSRNOG00000014293;Nkd1;666.2252871;0.524621946;-0.930649934;0.369611535;-2.517913666;0.011805225;0.999244754;NKD inhibitor of WNT signaling pathway 1;;;
ENSRNOG00000003310;Tmem63a;226.1086245;0.296359955;-1.754577574;0.697578873;-2.515238983;0.011895172;0.999244754;transmembrane protein 63a;;;
ENSRNOG00000005872;Tcf7;205.4539603;2.017742857;1.012742328;0.402672168;2.515054202;0.011901409;0.999244754;transcription factor 7;;;
ENSRNOG00000064961;NA;2440.629783;0.688871268;-0.537693688;0.21408758;-2.511559464;0.012019903;0.999244754;NA;;;
ENSRNOG00000009837;Tmem131l;1412.106566;1.658516892;0.729893706;0.290849217;2.509526118;0.012089328;0.999244754;transmembrane 131 like;;;
ENSRNOG00000065725;NA;15.7057821;0.016242955;-5.944042067;2.373923958;-2.503888993;0.012283657;0.999244754;NA;;;
ENSRNOG00000024577;Gamt;528.3584826;0.585283586;-0.772792275;0.308696911;-2.503401384;0.012300595;0.999244754;guanidinoacetate N-methyltransferase;;;
ENSRNOG00000021138;Cers2;1218.893993;0.540048219;-0.888839867;0.355815994;-2.498032359;0.012488479;0.999244754;ceramide synthase 2;;;
ENSRNOG00000033100;Fth1-ps5;3175.547129;0.632500882;-0.660860603;0.265081536;-2.49304653;0.012665225;0.999244754;ferritin heavy chain 1; pseudogene 5;;
ENSRNOG00000005299;Kif5a;99689.23484;0.691938833;-0.531283584;0.21321989;-2.491716813;0.012712735;0.999244754;kinesin family member 5A;;;
ENSRNOG00000047296;Bptf;6754.640346;1.438621434;0.524687004;0.210792888;2.489111515;0.012806279;0.999244754;bromodomain PHD finger transcription factor;;;
ENSRNOG00000047505;Tubb4a;24175.46213;0.558626856;-0.840043163;0.337636062;-2.488013747;0.012845877;0.999244754;tubulin; beta 4A class IVa;;
ENSRNOG00000001430;Polr2j;478.0690147;0.603721956;-0.728043824;0.292860994;-2.485970613;0.012919863;0.999244754;RNA polymerase II subunit J;;;
ENSRNOG00000020140;Pigq;3103.466869;0.73829783;-0.437725177;0.176103213;-2.485617215;0.012932699;0.999244754;phosphatidylinositol glycan anchor biosynthesis; class Q;;
ENSRNOG00000062002;Kcna3;4546.15086;1.39064955;0.4757589;0.191632978;2.482656716;0.013040669;0.999244754;potassium voltage-gated channel subfamily A member 3;;;
ENSRNOG00000021153;Fkbp2;2847.369784;0.729602478;-0.454817466;0.183289319;-2.481418281;0.013086071;0.999244754;FKBP prolyl isomerase 2;;;
ENSRNOG00000015787;P3h4;221.820506;0.496210562;-1.010975651;0.407496399;-2.480943766;0.013103504;0.999244754;prolyl 3-hydroxylase family member 4;;;
ENSRNOG00000051170;Ddx17;22713.1052;1.284394082;0.361087923;0.145563745;2.480617153;0.013115516;0.999244754;DEAD-box helicase 17;;;
ENSRNOG00000015380;Jup;2070.972968;0.738490205;-0.43734931;0.176560727;-2.477047515;0.013247426;0.999244754;junction plakoglobin;;;
ENSRNOG00000021589;Nexmif;5075.515126;1.380511491;0.465202897;0.188151516;2.472490832;0.013417516;0.999244754;neurite extension and migration factor;;;
ENSRNOG00000018110;Svil;839.9277576;1.486604925;0.572021293;0.231526518;2.470651302;0.013486725;0.999244754;supervillin;;;
ENSRNOG00000012722;Ppdpf;845.7024295;0.658546299;-0.602643223;0.244201662;-2.467809668;0.013594258;0.999244754;pancreatic progenitor cell differentiation and proliferation factor;;;
