;symbol;baseMean;FoldChange;log2FoldChange;lfcSE;stat;pvalue;padj;description;;;;
ENSRNOG00000000552;Col13a1;33.70170306;0.514690244;-0.958223658;0.390858748;-2.45158555;0.014222837;0.175474404;collagen type XIII alpha 1 chain;;;;ENSG00000197467
ENSRNOG00000000564;Tbata;20.10199071;0.511669214;-0.966716662;0.44721723;-2.161626607;0.030646969;NA;thymus; brain and testes associated;;;ENSG00000166220
ENSRNOG00000000567;Unc5b;1413.195094;0.637604423;-0.649266458;0.157033092;-4.134583682;3.56E-05;0.01114085;unc-5 netrin receptor B;;;;ENSG00000107731
ENSRNOG00000000568;Slc29a3;502.8397402;0.728379895;-0.457236994;0.143969977;-3.175919057;0.001493626;0.06213485;solute carrier family 29 member 3;;;;ENSG00000198246
ENSRNOG00000000569;Vsir;1183.011401;0.804900109;-0.313118344;0.125617751;-2.492628168;0.012680156;0.169466552;V-set immunoregulatory receptor;;;;0
ENSRNOG00000000572;Chst3;128.1082119;0.685508895;-0.544752708;0.244259389;-2.230222185;0.025732696;0.229758438;carbohydrate sulfotransferase 3;;;;ENSG00000122863
ENSRNOG00000000582;Ddo;724.4185459;1.250506239;0.322512256;0.107796014;2.99187552;0.002772693;0.083908053;D-aspartate oxidase;;;;ENSG00000203797
ENSRNOG00000000593;Rev3l;6834.498601;1.154075692;0.206737849;0.098814672;2.09217766;0.036422626;0.265755604;REV3 like; DNA directed polymerase zeta catalytic subunit;;;ENSG00000009413
ENSRNOG00000000611;Ube2d1;1038.377042;0.800341176;-0.32131296;0.094547502;-3.398428854;0.000677741;0.043516858;ubiquitin-conjugating enzyme E2D 1;;;;ENSG00000072401
ENSRNOG00000000635;Arid5b;3072.122167;1.168921065;0.22517751;0.112154919;2.00773638;0.044671313;0.288459524;AT-rich interaction domain 5B;;;;ENSG00000150347
ENSRNOG00000000645;Reep3;3825.400515;0.735140621;-0.443907853;0.10523327;-4.218322313;2.46E-05;0.008532109;receptor accessory protein 3;;;;ENSG00000165476
ENSRNOG00000000657;Nek7;3940.156591;0.830676357;-0.267641602;0.116174637;-2.303786861;0.021234611;0.211559502;NIMA-related kinase 7;;;;ENSG00000151414
ENSRNOG00000000661;Hps4;1275.128451;1.167301223;0.223176898;0.101633996;2.195888253;0.028099943;0.23847085;HPS4; biogenesis of lysosomal organelles complex 3 subunit 2;;;ENSG00000100099
ENSRNOG00000000708;Sgsm1;7016.373468;1.219116946;0.285836526;0.08563728;3.337758131;0.000844572;0.045855309;small G protein signaling modulator 1;;;;ENSG00000167037
ENSRNOG00000000775;Mog;1958.019347;0.358167556;-1.481293436;0.54322907;-2.726830202;0.006394594;0.120607098;myelin oligodendrocyte glycoprotein;;;;ENSG00000204655
ENSRNOG00000000799;Abcf1;5014.043301;0.886219693;-0.17426371;0.085890442;-2.028906882;0.042467776;0.283528079;ATP binding cassette subfamily F member 1;;;;ENSG00000204574
ENSRNOG00000000800;Man1a1;3985.635954;1.251620696;0.323797419;0.120654579;2.683672861;0.007281832;0.128480401;mannosidase; alpha; class 1A; member 1;ENSG00000111885
ENSRNOG00000000875;Fhl1;3756.414786;1.166304187;0.221944111;0.080408568;2.760204731;0.005776515;0.114249839;four and a half LIM domains 1;;;;0
ENSRNOG00000000885;Auts2;6021.919836;1.20070746;0.263884696;0.13204404;1.998459723;0.045666842;0.290427562;activator of transcription and developmental regulator AUTS2;;;;ENSG00000158321
ENSRNOG00000000886;Caln1;3091.703448;1.292069715;0.369683914;0.124291839;2.97432171;0.00293637;0.086188017;calneuron 1;;;;ENSG00000183166
ENSRNOG00000000888;Sbds;2364.691458;0.821136944;-0.284305249;0.089207746;-3.18700182;0.001437559;0.060483951;Sbds; ribosome maturation factor;;;ENSG00000126524
ENSRNOG00000000891;LOC102548389;1537.050462;1.202879825;0.266492515;0.131099726;2.032746549;0.042078136;0.283040977;zinc finger protein 709-like;;;;0
ENSRNOG00000000904;Wdr95;179.8471092;0.766907252;-0.382875984;0.137467459;-2.785211767;0.005349277;0.109415692;WD40 repeat domain 95;;;;0
ENSRNOG00000000905;Tex26;60.79475003;1.384943811;0.469827446;0.231720472;2.02756123;0.042605049;0.2837769;testis expressed 26;;;;ENSG00000175664
ENSRNOG00000000936;Stx2;875.7351216;1.242948631;0.313766674;0.128679465;2.438358546;0.014754132;0.17889082;syntaxin 2;;;;ENSG00000111450
ENSRNOG00000000957;Rpl21;4741.026164;0.757398754;-0.400875048;0.150581621;-2.662177791;0.007763686;0.131598676;ribosomal protein L21;;;;0
ENSRNOG00000000981;Scarb1;2277.611916;1.163818839;0.218866505;0.096103768;2.277397756;0.022762484;0.217292728;scavenger receptor class B; member 1;;;ENSG00000073060
ENSRNOG00000000990;Pdap1;4561.09896;0.839878542;-0.251747386;0.094463796;-2.665014511;0.0076985;0.131598676;PDGFA associated protein 1;;;;ENSG00000106244
ENSRNOG00000001049;Tpt1;11609.05715;0.783445337;-0.352095476;0.114568923;-3.073219735;0.002117625;0.073239076;tumor protein; translationally-controlled 1;;;ENSG00000133112
ENSRNOG00000001060;Snrnp35;1031.536327;0.87998019;-0.184457049;0.08375694;-2.202289745;0.027644848;0.237231566;small nuclear ribonucleoprotein U11/U12 subunit 35;;;;ENSG00000184209
ENSRNOG00000001069;Elavl1;1523.072392;1.12221294;0.166346453;0.083024984;2.003571021;0.045116033;0.289684161;ELAV like RNA binding protein 1;;;;ENSG00000066044
ENSRNOG00000001070;Cdk2ap1;2833.714891;0.766636632;-0.38338516;0.15533276;-2.46815391;0.013581191;0.174132114;cyclin-dependent kinase 2 associated protein 1;;;;0
ENSRNOG00000001080;Arl6ip4;1487.690241;0.833659866;-0.262469211;0.088370462;-2.970101148;0.002977017;0.08663933;ADP-ribosylation factor like GTPase 6 interacting protein 4;;;;ENSG00000182196
ENSRNOG00000001090;Stard13;700.8165909;0.823436919;-0.280269961;0.127943923;-2.190568768;0.028483013;0.239815929;StAR-related lipid transfer domain containing 13;;;;ENSG00000133121
ENSRNOG00000001117;Fbxl18;420.8471817;1.211925839;0.277301419;0.105195762;2.636051235;0.008387707;0.136483599;F-box and leucine-rich repeat protein 18;;;;ENSG00000155034
ENSRNOG00000001141;Srrm4;3614.784357;1.293365465;0.371129994;0.12385956;2.996377464;0.00273208;0.083362314;serine/arginine repetitive matrix 4;;;;ENSG00000139767
ENSRNOG00000001182;Ndufv3;1907.487692;0.8789711;-0.186112363;0.080059511;-2.324675235;0.020089332;0.205008718;NADH:ubiquinone oxidoreductase subunit V3;;;;ENSG00000160194
ENSRNOG00000001192;Gltp;1144.744777;0.615343338;-0.700536491;0.165717191;-4.227301272;2.37E-05;0.008532109;glycolipid transfer protein;;;;ENSG00000139433
ENSRNOG00000001198;Fam222a;260.6881259;0.787287863;-0.345036857;0.125558288;-2.74802135;0.00599561;0.116385864;family with sequence similarity 222; member A;;;ENSG00000139438
ENSRNOG00000001199;Pop5;648.1475064;1.15034336;0.202064548;0.088776752;2.276097549;0.022840172;0.217340562;POP5 homolog; ribonuclease P/MRP subunit;;;ENSG00000167272
ENSRNOG00000001204;Ankrd13a;2125.161352;0.820793251;-0.284909226;0.079242664;-3.595401913;0.000323891;0.030661695;ankyrin repeat domain 13a;;;;ENSG00000076513
ENSRNOG00000001224;Itgb2;388.0929506;0.764003006;-0.38834978;0.189947947;-2.044506333;0.040903552;0.280438098;integrin subunit beta 2;;;;ENSG00000160255
ENSRNOG00000001235;Gna12;7481.78205;0.690262514;-0.534782957;0.142993072;-3.739922154;0.000184077;0.024713208;G protein subunit alpha 12;;;;ENSG00000146535
ENSRNOG00000001237;Cabin1;4223.870285;1.132247747;0.179189668;0.087139053;2.056364657;0.03974738;0.277147331;calcineurin binding protein 1;;;;ENSG00000099991
ENSRNOG00000001241;Iqce;1567.72011;1.1830802;0.242547876;0.115586164;2.09841617;0.035868398;0.264957445;IQ motif containing E;;;;ENSG00000106012
ENSRNOG00000001242;Gstt3;1362.757705;0.601476568;-0.733419561;0.181553637;-4.039685308;5.35E-05;0.012811715;glutathione S-transferase; theta 3;;;0
ENSRNOG00000001283;Anapc7;2039.590703;1.099401156;0.136717901;0.058706169;2.328850659;0.019866979;0.203749006;anaphase promoting complex subunit 7;;;;ENSG00000196510
ENSRNOG00000001295;S100b;35037.32861;0.720536585;-0.472856411;0.201488953;-2.346810599;0.018934877;0.201730351;S100 calcium binding protein B;;;;ENSG00000160307
ENSRNOG00000001296;P2rx7;1133.822031;0.855833148;-0.224598537;0.089075712;-2.521434087;0.011687757;0.16207023;purinergic receptor P2X 7;;;;ENSG00000089041
ENSRNOG00000001299;Sun1;4649.432901;1.191777811;0.253115292;0.090902454;2.784471492;0.005361503;0.109437477;Sad1 and UNC84 domain containing 1;;;;ENSG00000164828
ENSRNOG00000001312;Pdgfa;1011.6902;0.835643156;-0.259041095;0.101163112;-2.560627975;0.010448317;0.153686007;platelet derived growth factor subunit A;;;;ENSG00000197461
ENSRNOG00000001329;Gjc3;1688.59285;0.379668994;-1.397185909;0.44213062;-3.160120215;0.001577041;0.063628775;gap junction protein; gamma 3;;;ENSG00000176402
ENSRNOG00000001349;Mcm7;668.8283865;0.83475829;-0.26056958;0.124387756;-2.094816957;0.036187267;0.265240215;minichromosome maintenance complex component 7;;;;ENSG00000166508
ENSRNOG00000001351;Trafd1;2218.541644;1.244990661;0.31613492;0.10876956;2.906465016;0.003655378;0.094516728;TRAF type zinc finger domain containing 1;;;;ENSG00000135148
ENSRNOG00000001353;Ap4m1;1820.79817;1.099508791;0.136859139;0.065808586;2.079654764;0.03755721;0.270416423;adaptor related protein complex 4 subunit mu 1;;;;ENSG00000221838
ENSRNOG00000001374;Rasal1;4371.515669;1.269289937;0.344021654;0.096415943;3.56809927;0.00035958;0.032442888;RAS protein activator like 1;;;;ENSG00000111344
ENSRNOG00000001376;Mettl7a;1523.242585;0.70338353;-0.507616542;0.175230267;-2.896854242;0.003769248;0.095315513;methyltransferase like 7A;;;;ENSG00000185432
ENSRNOG00000001404;Agfg2;1380.855139;1.10853985;0.148660634;0.068016436;2.185657512;0.028840672;0.240768252;ArfGAP with FG repeats 2;;;;ENSG00000106351
ENSRNOG00000001410;Gigyf1;1488.80766;1.201080322;0.264332634;0.079375375;3.330159167;0.000867964;0.046578496;GRB10 interacting GYF protein 1;;;;ENSG00000146830
ENSRNOG00000001420;Fis1;3258.444619;0.82121603;-0.284166306;0.108120573;-2.628235284;0.008582913;0.138376044;fission; mitochondrial 1;;;ENSG00000214253
ENSRNOG00000001422;Col26a1;53.9506218;1.628766762;0.703780026;0.279587921;2.517204686;0.011829009;0.163540979;collagen type XXVI alpha 1 chain;;;;ENSG00000160963
ENSRNOG00000001429;Lrwd1;451.2797983;1.240786447;0.311254833;0.114646673;2.714905066;0.006629477;0.122840801;leucine-rich repeats and WD repeat domain containing 1;;;;ENSG00000161036
ENSRNOG00000001448;Hip1;2954.228616;0.854062083;-0.22758715;0.104278144;-2.18250097;0.02907258;0.241974954;huntingtin interacting protein 1;;;;ENSG00000127946
ENSRNOG00000001453;Baz1b;10649.0871;1.118984154;0.162189606;0.081511441;1.98977718;0.046615486;0.292251196;bromodomain adjacent to zinc finger domain; 1B;;;ENSG00000009954
ENSRNOG00000001455;Kif13a;1692.27586;0.822618719;-0.281704194;0.118444234;-2.378369843;0.017389375;0.194427411;kinesin family member 13A;;;;ENSG00000137177
ENSRNOG00000001492;Slc8a2;11541.61264;1.151753112;0.203831496;0.103576635;1.967929321;0.049076171;0.298992115;solute carrier family 8 member A2;;;;ENSG00000118160
ENSRNOG00000001516;Rapgef4;22989.47986;0.67207809;-0.573299222;0.171500053;-3.342851568;0.000829222;0.045693868;Rap guanine nucleotide exchange factor 4;;;;ENSG00000091428
ENSRNOG00000001518;Itga6;3697.403416;0.862571934;-0.213283319;0.08516357;-2.504396173;0.01226606;0.166102733;integrin subunit alpha 6;;;;ENSG00000091409
ENSRNOG00000001548;Nfe2l2;1043.023699;0.755623346;-0.404260818;0.150226578;-2.691007303;0.007123664;0.126810637;NFE2 like bZIP transcription factor 2;;;;ENSG00000116044
ENSRNOG00000001554;RGD1563888;835.1639017;0.552621569;-0.855636223;0.250079801;-3.421452754;0.000622875;0.042784301;similar to DNA segment; Chr 16; ERATO Doi 472; expressed;ENSG00000154642
ENSRNOG00000001557;Cxadr;8404.014546;1.28057739;0.356794443;0.111649552;3.195663909;0.001395095;0.059203349;CXADR; Ig-like cell adhesion molecule;;;ENSG00000154639
ENSRNOG00000001603;N6amt1;320.6978664;0.848995597;-0.236171023;0.102930937;-2.294461011;0.021764032;0.213621198;N-6 adenine-specific DNA methyltransferase 1;;;;ENSG00000156239
ENSRNOG00000001620;Prdm15;1086.780828;1.214742943;0.280651052;0.119105664;2.356319941;0.018457013;0.198952178;PR/SET domain 15;;;;ENSG00000141956
ENSRNOG00000001628;Pcp4;2365.055023;0.68045592;-0.555426389;0.21726796;-2.556411862;0.010575786;0.154483884;Purkinje cell protein 4;;;;ENSG00000183036
ENSRNOG00000001632;Brwd1;4670.731591;1.129847518;0.176128083;0.0851304;2.068921134;0.038553488;0.272680992;bromodomain and WD repeat domain containing 1;;;;ENSG00000185658
ENSRNOG00000001647;Ets2;3561.010232;1.153376393;0.2058634;0.070378264;2.925099149;0.003443465;0.092125163;ETS proto-oncogene 2; transcription factor;;;ENSG00000157557
ENSRNOG00000001657;Cldnd1;3444.30585;0.836953608;-0.256780438;0.085799742;-2.992788003;0.002764417;0.083829385;claudin domain containing 1;;;;ENSG00000080822
ENSRNOG00000001700;Whrn;2218.209782;0.806260294;-0.310682419;0.076396093;-4.06673178;4.77E-05;0.012811715;whirlin;;;;ENSG00000095397
ENSRNOG00000001730;Acap2;8600.548487;1.134715939;0.182331183;0.076732622;2.376188628;0.017492518;0.194976404;ArfGAP with coiled-coil; ankyrin repeat and PH domains 2;;;ENSG00000114331
ENSRNOG00000001747;Pak2;3484.760164;0.871609807;-0.198245666;0.088443267;-2.241500941;0.024993645;0.226029482;p21 (RAC1) activated kinase 2;;;;ENSG00000180370
ENSRNOG00000001770;Ehhadh;136.6417473;0.71383214;-0.486343235;0.133694329;-3.637725252;0.000275057;0.029113385;enoyl-CoA hydratase and 3-hydroxyacyl CoA dehydrogenase;;;;ENSG00000113790
ENSRNOG00000001781;Lmln;523.3903422;1.144171154;0.194302878;0.095599955;2.032457833;0.042107328;0.283040977;leishmanolysin like peptidase;;;;ENSG00000185621
ENSRNOG00000001782;Osbpl11;1305.878549;1.102600463;0.140910113;0.061808419;2.279788327;0.022620246;0.217244665;oxysterol binding protein-like 11;;;;ENSG00000144909
ENSRNOG00000001786;Snx4;3876.597569;1.118091409;0.16103814;0.081015133;1.987753819;0.046838924;0.292604578;sorting nexin 4;;;;ENSG00000114520
ENSRNOG00000001792;Slc12a8;96.42709758;1.344847674;0.427442773;0.213461869;2.002431515;0.045238342;0.289965205;solute carrier family 12; member 8;;;ENSG00000221955
ENSRNOG00000001795;Itgb5;1306.175148;0.731742118;-0.450592793;0.135657562;-3.321545716;0.000895203;0.047413478;integrin subunit beta 5;;;;ENSG00000082781
ENSRNOG00000001796;Dgkg;3491.096045;1.227632044;0.295878209;0.145468759;2.033963935;0.041955232;0.282541355;diacylglycerol kinase; gamma;;;ENSG00000058866
ENSRNOG00000001804;Itpr2;1478.117917;0.794321209;-0.332205569;0.157445217;-2.109975613;0.034860456;0.260455103;inositol 1;4;5-trisphosphate receptor; type 2;ENSG00000123104
ENSRNOG00000001807;Sspn;767.8803208;0.732074243;-0.449938128;0.173447069;-2.594094729;0.009484035;0.144541003;sarcospan;;;;ENSG00000123096
ENSRNOG00000001825;Pkp2;417.8077225;1.414362479;0.500151907;0.15338163;3.260833181;0.001110854;0.052827461;plakophilin 2;;;;ENSG00000057294
ENSRNOG00000001830;Bmal2;305.1841799;1.41504521;0.500848148;0.139654307;3.586342294;0.000335349;0.031532074;basic helix-loop-helix ARNT like 2;;;;ENSG00000029153
ENSRNOG00000001845;Top3b;1449.665567;1.130043226;0.176377959;0.072245758;2.441360749;0.01463203;0.17827489;DNA topoisomerase III beta;;;;ENSG00000100038
ENSRNOG00000001869;Rab44;25.93366414;0.576414903;-0.794820458;0.377350951;-2.106316296;0.035176887;NA;RAB44; member RAS oncogene family;;;ENSG00000255587
ENSRNOG00000001874;Slc7a4;1009.132322;1.223789181;0.29135505;0.123087518;2.367056022;0.017930218;0.19615212;solute carrier family 7; member 4;;;ENSG00000099960
ENSRNOG00000001878;Klhl22;2922.290425;1.083719437;0.115991307;0.056786622;2.042581563;0.041093878;0.280528195;kelch-like family member 22;;;;ENSG00000099910
ENSRNOG00000001886;Dgcr8;2147.100133;1.121036862;0.164833718;0.072354014;2.278155813;0.022717296;0.217292728;DGCR8 microprocessor complex subunit;;;;ENSG00000128191
ENSRNOG00000001888;Arvcf;1394.075001;1.139636218;0.188573377;0.070601557;2.670952094;0.007563644;0.130773277;ARVCF; delta catenin family member;;;ENSG00000099889
ENSRNOG00000001908;Klhl6;179.5758352;0.807621917;-0.308248032;0.152574271;-2.020314635;0.043350762;0.285324461;kelch-like family member 6;;;;ENSG00000172578
ENSRNOG00000001911;Map6d1;551.4234973;0.693698315;-0.527619714;0.186365182;-2.831106701;0.004638724;0.102859881;MAP6 domain containing 1;;;;ENSG00000180834
ENSRNOG00000001931;Fgf12;8344.660308;1.13686783;0.185064539;0.089150724;2.075861319;0.037906779;0.271241895;fibroblast growth factor 12;;;;ENSG00000114279
ENSRNOG00000001960;Sult1d1;517.367611;0.668957156;-0.580014279;0.265917025;-2.181185196;0.029169721;0.242022821;sulfotransferase family 1D; member 1;;;0
ENSRNOG00000001963;Mx2;944.8614598;0.727234062;-0.459508321;0.163396415;-2.812230126;0.004919929;0.10576057;MX dynamin like GTPase 2;;;;ENSG00000157601
ENSRNOG00000002004;Prdm8;976.4211986;1.306328704;0.38551796;0.135076657;2.854067961;0.00431633;0.099139998;PR/SET domain 8;;;;ENSG00000152784
ENSRNOG00000002011;Gnrhr;12.59938975;1.835595322;0.876248035;0.40895688;2.14264163;0.032141886;NA;gonadotropin releasing hormone receptor;;;;ENSG00000109163
ENSRNOG00000002045;Anxa3;2496.915245;0.786437753;-0.346595515;0.165132844;-2.098889036;0.035826684;0.264941644;annexin A3;;;;ENSG00000138772
ENSRNOG00000002050;Igfbp7;2439.498734;0.744123519;-0.426385977;0.166921507;-2.554410059;0.010636791;0.154762684;insulin-like growth factor binding protein 7;;;;ENSG00000163453
ENSRNOG00000002053;Fras1;2489.493554;1.397690379;0.483044805;0.125015661;3.863874337;0.000111603;0.019749208;Fraser extracellular matrix complex subunit 1;;;;ENSG00000138759
ENSRNOG00000002054;Glmn;2858.992178;1.190722112;0.25183676;0.107445934;2.343846338;0.019086033;0.201730351;glomulin; FKBP associated protein;;;ENSG00000174842
ENSRNOG00000002070;Mrpl1;1035.576423;1.161931633;0.216525184;0.084319465;2.567914577;0.010231237;0.151854172;mitochondrial ribosomal protein L1;;;;ENSG00000169288
ENSRNOG00000002073;Brdt;937.9713482;1.173987538;0.231417094;0.093813729;2.466772158;0.013633708;0.174328107;bromodomain testis associated;;;;ENSG00000137948
ENSRNOG00000002074;Rest;236.5303034;0.741635655;-0.431217489;0.137619183;-3.133411208;0.001727872;0.065261411;RE1-silencing transcription factor;;;;ENSG00000084093
ENSRNOG00000002080;Urb1;1221.031598;1.124147971;0.16883195;0.080575814;2.095317966;0.036142736;0.265240215;URB1 ribosome biogenesis homolog;;;;ENSG00000142207
ENSRNOG00000002105;Cdc7;429.0081511;1.283275343;0.359830753;0.121049986;2.972579888;0.002953083;0.086188017;cell division cycle 7;;;;ENSG00000097046
ENSRNOG00000002110;Fam114a1l1;24.29367237;0.566096821;-0.820879274;0.346000033;-2.372483224;0.017668965;NA;family with sequence similarity 114; member A1-like 1;;;ENSG00000197712
ENSRNOG00000002125;Ccni;14350.94636;0.813862543;-0.297142944;0.145782287;-2.038265065;0.041523432;0.281680312;cyclin I;;;;ENSG00000118816
ENSRNOG00000002137;Aasdh;920.9823987;1.191325068;0.252567124;0.099725347;2.532627164;0.01132113;0.159485275;aminoadipate-semialdehyde dehydrogenase;;;;ENSG00000157426
ENSRNOG00000002152;Dcun1d4;5140.929158;1.115786901;0.15806152;0.0799956;1.975877684;0.048168632;0.296366738;defective in cullin neddylation 1 domain containing 4;;;;ENSG00000109184
ENSRNOG00000002159;Gpat3;325.1161225;1.285258602;0.362058668;0.122267474;2.961201825;0.003064411;0.087874204;glycerol-3-phosphate acyltransferase 3;;;;ENSG00000138678
ENSRNOG00000002163;Klf3;1559.78517;0.810990264;-0.3022435;0.122112497;-2.475123404;0.013319015;0.172994905;KLF transcription factor 3;;;;ENSG00000109787
ENSRNOG00000002164;Nmu;7.333340134;2.530105071;1.339197299;0.646905183;2.070160102;0.038437354;NA;neuromedin U;;;;ENSG00000109255
ENSRNOG00000002174;Cwh43;226.8894855;1.541314929;0.62416167;0.277909318;2.245918472;0.02470923;0.225389695;cell wall biogenesis 43 C-terminal homolog;;;;ENSG00000109182
ENSRNOG00000002192;Rell1;271.2358844;0.677036245;-0.562695025;0.15650137;-3.595463886;0.000323814;0.030661695;RELT-like 1;;;;ENSG00000181826
ENSRNOG00000002194;Coq2;1409.243592;1.128251518;0.17408872;0.073297495;2.375097805;0.017544301;0.194976404;coenzyme Q2; polyprenyltransferase;;;ENSG00000173085
ENSRNOG00000002210;Hsd17b11;915.4223029;0.731983306;-0.45011735;0.132297025;-3.402324054;0.000668154;0.043374002;hydroxysteroid (17-beta) dehydrogenase 11;;;;ENSG00000198189
ENSRNOG00000002244;Pdgfra;4526.469427;0.81614357;-0.293105132;0.145428736;-2.0154554;0.043856955;0.286606032;platelet derived growth factor receptor alpha;;;;ENSG00000134853
ENSRNOG00000002255;Fam162a;1981.948624;0.874897713;-0.192813738;0.091050524;-2.117656535;0.034204166;0.257717924;family with sequence similarity 162; member A;;;ENSG00000114023
ENSRNOG00000002265;Casr;19.57121083;0.383197357;-1.383840483;0.471149515;-2.937157822;0.003312355;NA;calcium-sensing receptor;;;;ENSG00000036828
ENSRNOG00000002272;Lnx1;1311.590359;1.173986375;0.231415665;0.10045786;2.303609346;0.021244583;0.211559502;ligand of numb-protein X 1;;;;ENSG00000072201
ENSRNOG00000002276;Phf6;2165.912887;1.143226623;0.193111419;0.087587138;2.204791975;0.027468695;0.237231566;PHD finger protein 6;;;;ENSG00000156531
ENSRNOG00000002278;Tec;1064.600796;1.289855677;0.36720965;0.162159793;2.2644926;0.023543834;0.219227835;tec protein tyrosine kinase;;;;ENSG00000135605
